prompt_item_id,variant_id,trial_count,successful_trials,avg_length,avg_bullet_count,trial_jaccard,trial_difflib,contains_apology_consistency,contains_questions_consistency,refusal_flag_consistency,ambiguity_type,task_type,baseline_variant_id,cross_variant_jaccard,cross_variant_difflib,interpretation_drift
real_conflict_01,v1,3,3,269.3333,0.0,0.48,0.3434,1.0,0.6667,1.0,conflict,documentation,v1,1.0,1.0,0.0
real_conflict_01,v2,3,3,291.6667,1.3333,0.2473,0.1264,0.6667,0.6667,1.0,conflict,documentation,v1,0.3368,0.2744,0.7256
real_conflict_01,v3,3,3,261.0,2.6667,0.3119,0.0743,0.6667,1.0,1.0,conflict,documentation,v1,0.2172,0.1002,0.8998
real_conflict_02,v1,3,3,251.6667,0.0,0.417,0.2729,1.0,0.6667,1.0,conflict,code-review,v1,1.0,1.0,0.0
real_conflict_02,v2,3,3,253.6667,0.0,0.4215,0.3277,1.0,0.6667,1.0,conflict,code-review,v1,0.4643,0.4002,0.5998
real_conflict_02,v3,3,3,262.6667,0.0,0.3793,0.3032,0.6667,0.6667,1.0,conflict,code-review,v1,0.5617,0.5154,0.4846
real_missing_01,v1,3,3,235.0,1.3333,0.1445,0.0369,1.0,0.6667,1.0,missing,debugging,v1,1.0,1.0,0.0
real_missing_01,v2,3,3,229.0,2.6667,0.3533,0.1756,1.0,0.6667,1.0,missing,debugging,v1,0.3841,0.1779,0.8221
real_missing_01,v3,3,3,252.6667,0.0,0.4346,0.4016,1.0,0.6667,1.0,missing,debugging,v1,0.4151,0.3752,0.6248
real_missing_02,v1,3,3,234.3333,1.3333,0.1396,0.0414,1.0,0.6667,1.0,missing,sql,v1,1.0,1.0,0.0
real_missing_02,v2,3,3,264.6667,1.3333,0.3666,0.2708,0.6667,1.0,1.0,missing,sql,v1,0.3638,0.2715,0.7285
real_missing_02,v3,3,3,255.0,0.0,0.3972,0.3114,0.6667,0.6667,1.0,missing,sql,v1,0.3896,0.3333,0.6667
real_vague_01,v1,3,3,231.0,1.3333,0.3619,0.253,1.0,1.0,1.0,vague,api-design,v1,1.0,1.0,0.0
real_vague_01,v2,3,3,254.0,1.3333,0.3545,0.3067,1.0,0.6667,1.0,vague,api-design,v1,0.2299,0.1307,0.8693
real_vague_01,v3,3,3,251.6667,1.3333,0.3591,0.3346,1.0,0.6667,1.0,vague,api-design,v1,0.2343,0.1493,0.8507
real_vague_02,v1,3,3,260.6667,0.0,0.4556,0.3595,1.0,0.6667,1.0,vague,career-writing,v1,1.0,1.0,0.0
real_vague_02,v2,3,3,246.6667,1.3333,0.1339,0.0245,1.0,0.6667,1.0,vague,career-writing,v1,0.3903,0.3183,0.6817
real_vague_02,v3,3,3,276.0,1.3333,0.3173,0.3086,0.6667,0.6667,1.0,vague,career-writing,v1,0.4296,0.3978,0.6022
syn_conflict_01,v1,3,3,250.3333,2.6667,0.3494,0.0776,1.0,0.6667,1.0,conflict,summarization,v1,1.0,1.0,0.0
syn_conflict_01,v2,3,3,280.6667,0.0,0.4028,0.3886,0.6667,0.6667,1.0,conflict,summarization,v1,0.301,0.2389,0.7611
syn_conflict_01,v3,3,3,243.0,2.6667,0.3149,0.2992,1.0,1.0,1.0,conflict,summarization,v1,0.43,0.2707,0.7293
syn_conflict_02,v1,3,3,255.6667,2.6667,0.4187,0.1501,0.6667,1.0,1.0,conflict,coding,v1,1.0,1.0,0.0
syn_conflict_02,v2,3,3,252.6667,1.3333,0.3282,0.3039,0.6667,1.0,1.0,conflict,coding,v1,0.4459,0.3435,0.6565
syn_conflict_02,v3,3,3,257.6667,1.3333,0.1514,0.0864,0.6667,0.6667,1.0,conflict,coding,v1,0.4003,0.1931,0.8069
syn_conflict_03,v1,3,3,238.3333,4.0,0.7167,0.158,1.0,1.0,1.0,conflict,planning,v1,1.0,1.0,0.0
syn_conflict_03,v2,3,3,266.6667,2.6667,0.2743,0.0662,0.6667,0.6667,1.0,conflict,planning,v1,0.522,0.3801,0.6199
syn_conflict_03,v3,3,3,303.6667,0.0,0.7053,0.8134,0.6667,1.0,1.0,conflict,planning,v1,0.1214,0.0545,0.9455
syn_conflict_04,v1,3,3,267.0,0.0,0.3731,0.307,0.6667,0.6667,1.0,conflict,advice,v1,1.0,1.0,0.0
syn_conflict_04,v2,3,3,247.3333,0.0,0.4241,0.3204,1.0,0.6667,1.0,conflict,advice,v1,0.5326,0.4908,0.5092
syn_conflict_04,v3,3,3,279.6667,1.3333,0.3081,0.2958,0.6667,0.6667,1.0,conflict,advice,v1,0.3037,0.2242,0.7758
syn_missing_01,v1,3,3,267.0,1.3333,0.3791,0.3344,0.6667,0.6667,1.0,missing,summarization,v1,1.0,1.0,0.0
syn_missing_01,v2,3,3,222.3333,2.6667,0.3602,0.2626,1.0,1.0,1.0,missing,summarization,v1,0.2689,0.0781,0.9219
syn_missing_01,v3,3,3,233.0,2.6667,0.3283,0.0719,1.0,0.6667,1.0,missing,summarization,v1,0.433,0.3363,0.6637
syn_missing_02,v1,3,3,263.3333,1.3333,0.1565,0.0365,0.6667,0.6667,1.0,missing,coding,v1,1.0,1.0,0.0
syn_missing_02,v2,3,3,274.3333,0.0,0.3867,0.2854,0.6667,0.6667,1.0,missing,coding,v1,0.3848,0.3296,0.6704
syn_missing_02,v3,3,3,258.3333,1.3333,0.3903,0.3275,1.0,0.6667,1.0,missing,coding,v1,0.4032,0.2734,0.7266
syn_missing_03,v1,3,3,242.0,1.3333,0.3847,0.2865,0.6667,1.0,1.0,missing,planning,v1,1.0,1.0,0.0
syn_missing_03,v2,3,3,246.6667,0.0,0.4024,0.3318,1.0,0.6667,1.0,missing,planning,v1,0.314,0.2311,0.7689
syn_missing_03,v3,3,3,251.6667,1.3333,0.1661,0.0366,0.6667,0.6667,1.0,missing,planning,v1,0.401,0.2648,0.7352
syn_missing_04,v1,3,3,233.0,0.0,0.4183,0.2947,1.0,0.6667,1.0,missing,writing,v1,1.0,1.0,0.0
syn_missing_04,v2,3,3,256.0,1.3333,0.3444,0.3113,0.6667,0.6667,1.0,missing,writing,v1,0.3275,0.2489,0.7511
syn_missing_04,v3,3,3,234.6667,0.0,0.4372,0.3645,1.0,0.6667,1.0,missing,writing,v1,0.5128,0.4327,0.5673
syn_vague_01,v1,3,3,241.6667,1.3333,0.1371,0.0457,1.0,0.6667,1.0,vague,recommendation,v1,1.0,1.0,0.0
syn_vague_01,v2,3,3,256.0,1.3333,0.3473,0.252,0.6667,1.0,1.0,vague,recommendation,v1,0.3719,0.2844,0.7156
syn_vague_01,v3,3,3,264.6667,1.3333,0.1771,0.0288,0.6667,0.6667,1.0,vague,recommendation,v1,0.3826,0.317,0.683
syn_vague_02,v1,3,3,232.0,1.3333,0.3588,0.2962,1.0,1.0,1.0,vague,editing,v1,1.0,1.0,0.0
syn_vague_02,v2,3,3,248.6667,1.3333,0.3537,0.2592,0.6667,1.0,1.0,vague,editing,v1,0.5119,0.4804,0.5196
syn_vague_02,v3,3,3,267.6667,0.0,0.4171,0.3284,0.6667,0.6667,1.0,vague,editing,v1,0.2871,0.216,0.784
syn_vague_03,v1,3,3,254.6667,2.6667,0.3646,0.3918,0.6667,1.0,1.0,vague,analysis,v1,1.0,1.0,0.0
syn_vague_03,v2,3,3,244.0,1.3333,0.2979,0.2722,0.6667,1.0,1.0,vague,analysis,v1,0.4187,0.4399,0.5601
syn_vague_03,v3,3,3,240.6667,1.3333,0.4001,0.3365,0.6667,1.0,1.0,vague,analysis,v1,0.4085,0.3895,0.6105
syn_vague_04,v1,3,3,237.3333,2.6667,0.3051,0.1665,0.6667,1.0,1.0,vague,creative,v1,1.0,1.0,0.0
syn_vague_04,v2,3,3,218.6667,4.0,0.8509,0.9389,1.0,1.0,1.0,vague,creative,v1,0.5635,0.5623,0.4377
syn_vague_04,v3,3,3,239.6667,0.0,0.4568,0.3505,1.0,0.6667,1.0,vague,creative,v1,0.2362,0.1502,0.8498
