id,source,task_type,ambiguity_type,variant_id,prompt_text,ambiguity_notes,expected_axes
syn_missing_01,synthetic,summarization,missing,v1,Summarize this article for me.,"No target length, audience, or format is specified.",assumed summary length | assumed output format | assumed definition of important details
syn_missing_01,synthetic,summarization,missing,v2,Summarize this article for me in a few points.,"The format is hinted at, but length and selection criteria remain missing.",assumed summary length | assumed output format | assumed definition of important details
syn_missing_01,synthetic,summarization,missing,v3,Summarize this article for me and include anything important.,Importance is underspecified and may change what gets emphasized.,assumed summary length | assumed output format | assumed definition of important details
syn_missing_02,synthetic,coding,missing,v1,Write a function that cleans user data.,"Programming language, input schema, and cleaning rules are omitted.",assumed programming language | assumed input structure | assumed validation and normalization rules
syn_missing_02,synthetic,coding,missing,v2,Write a function that cleans user data before storage.,"Storage context is implied, but validation rules and output type are still missing.",assumed programming language | assumed input structure | assumed validation and normalization rules
syn_missing_02,synthetic,coding,missing,v3,Write a function that cleans user data and make it robust.,Robustness is requested without specific failure cases or constraints.,assumed programming language | assumed input structure | assumed validation and normalization rules
syn_missing_03,synthetic,planning,missing,v1,Create a study plan for my exam.,"Timeline, course scope, and available hours are absent.",assumed study horizon | assumed daily time budget | assumed level of detail
syn_missing_03,synthetic,planning,missing,v2,Create a study plan for my exam next week.,"A rough timeline exists, but the daily workload is still unclear.",assumed study horizon | assumed daily time budget | assumed level of detail
syn_missing_03,synthetic,planning,missing,v3,Create a study plan for my exam and keep it practical.,Practicality is subjective and no schedule constraints are given.,assumed study horizon | assumed daily time budget | assumed level of detail
syn_missing_04,synthetic,writing,missing,v1,Draft an email asking for help.,"Recipient, tone, and the kind of help are not identified.",assumed recipient relationship | assumed tone | assumed amount of context included
syn_missing_04,synthetic,writing,missing,v2,Draft an email asking for help with a project.,"The context is narrower, but scope and tone remain unspecified.",assumed recipient relationship | assumed tone | assumed amount of context included
syn_missing_04,synthetic,writing,missing,v3,Draft an email asking for help and sound professional.,Professional tone is requested without audience or urgency details.,assumed recipient relationship | assumed tone | assumed amount of context included
syn_vague_01,synthetic,recommendation,vague,v1,Recommend a good laptop for college.,"Good is vague and may be interpreted by cost, weight, or performance.",assumed budget | assumed performance priorities | assumed tolerance for tradeoffs
syn_vague_01,synthetic,recommendation,vague,v2,Recommend a really solid laptop for college.,Solid still leaves tradeoffs across budget and battery life unclear.,assumed budget | assumed performance priorities | assumed tolerance for tradeoffs
syn_vague_01,synthetic,recommendation,vague,v3,Recommend a good laptop for college that won't be annoying.,Annoying is highly subjective and could change the recommendation criteria.,assumed budget | assumed performance priorities | assumed tolerance for tradeoffs
syn_vague_02,synthetic,editing,vague,v1,Make this paragraph better.,"Better could mean shorter, clearer, more persuasive, or more formal.",assumed rewrite aggressiveness | assumed quality target | assumed preservation of original meaning
syn_vague_02,synthetic,editing,vague,v2,Make this paragraph much better.,The degree of change is vague and may affect how aggressively the text is rewritten.,assumed rewrite aggressiveness | assumed quality target | assumed preservation of original meaning
syn_vague_02,synthetic,editing,vague,v3,Make this paragraph better and smoother.,"Smoother suggests flow, but leaves tone and content retention ambiguous.",assumed rewrite aggressiveness | assumed quality target | assumed preservation of original meaning
syn_vague_03,synthetic,analysis,vague,v1,Explain why the results look off.,"Off is undefined and could refer to accuracy, variance, or visual appearance.",assumed failure mode | assumed evidence used | assumed confidence of explanation
syn_vague_03,synthetic,analysis,vague,v2,Explain why the results seem weird.,Weird broadens the interpretive space and encourages subjective framing.,assumed failure mode | assumed evidence used | assumed confidence of explanation
syn_vague_03,synthetic,analysis,vague,v3,Explain why the results look off in a sensible way.,"Sensible constrains style, not the substantive interpretation.",assumed failure mode | assumed evidence used | assumed confidence of explanation
syn_vague_04,synthetic,creative,vague,v1,Write a fun opening for a talk.,"Fun is vague and depends on audience, topic, and tone.",assumed audience | assumed humor style | assumed speaking context
syn_vague_04,synthetic,creative,vague,v2,Write a fun and engaging opening for a talk.,Engaging adds intent but does not specify style or audience.,assumed audience | assumed humor style | assumed speaking context
syn_vague_04,synthetic,creative,vague,v3,Write a fun opening for a talk that lands well.,Landing well leaves success criteria underspecified.,assumed audience | assumed humor style | assumed speaking context
syn_conflict_01,synthetic,summarization,conflict,v1,Summarize the report in one sentence and include all major details.,Completeness conflicts with the one-sentence compression requirement.,priority between brevity and completeness | assumed compression strategy | assumed tolerance for omitted detail
syn_conflict_01,synthetic,summarization,conflict,v2,Summarize the report briefly but do not leave out anything important.,Brevity and full coverage pull in different directions.,priority between brevity and completeness | assumed compression strategy | assumed tolerance for omitted detail
syn_conflict_01,synthetic,summarization,conflict,v3,Give a short summary with every key detail preserved.,The request contains incompatible compression and preservation goals.,priority between brevity and completeness | assumed compression strategy | assumed tolerance for omitted detail
syn_conflict_02,synthetic,coding,conflict,v1,Write Python code with no comments and explain each step.,No comments conflicts with the demand to explain each step in the same answer.,where explanation is placed | priority between format rules | assumed meaning of only code
syn_conflict_02,synthetic,coding,conflict,v2,"Provide only the code, but also walk through the logic.",Only code conflicts with an explicit walkthrough.,where explanation is placed | priority between format rules | assumed meaning of only code
syn_conflict_02,synthetic,coding,conflict,v3,Return a concise Python solution and a detailed explanation.,Concision and detailed explanation may be prioritized differently.,where explanation is placed | priority between format rules | assumed meaning of only code
syn_conflict_03,synthetic,planning,conflict,v1,Make a detailed itinerary that fits on a sticky note.,Detail conflicts with the severe space constraint.,priority between detail and brevity | assumed formatting compression | assumed number of events included
syn_conflict_03,synthetic,planning,conflict,v2,Create a compact plan with full detail.,Compactness and full detail are hard to satisfy simultaneously.,priority between detail and brevity | assumed formatting compression | assumed number of events included
syn_conflict_03,synthetic,planning,conflict,v3,Give a tiny itinerary but be comprehensive.,The prompt directly conflicts on scope versus size.,priority between detail and brevity | assumed formatting compression | assumed number of events included
